QT_content,QT_objects
TAZ Pro Owners -- do you recommend it?,it
Z height changing during print.,print
Side fans stopped working,working
My Taz 6 started chewing up the filament,filament
"Luzbot 5 Single, printing in squiggles",squiggles
SOLVED: Taz 6 auto leveling is >0.5mm off (NOW PERFECT TO 0.01mm!),> 0.5 mm
TAZ 6 Bed leveling problems,problems
Problems with the TAZ6,TAZ6
Additional Heating Resistors in TAZ4 and TAZ5,TAZ4
Taz 6 Z Probe: I need some bed leveling help,bed leveling help
Taz 6 Probing Problem,Problem
"Posts Responded with ""Reach out to the support team"" Question",support team
Free STL if anyone wants it for Taz6,it
Nozzle is missing wiper pad and hitting mount,mount
Nozzle is missing wiper pad and hitting mount,wiper pad
Taz 6 + Brand New MoarStruder makes loud popping sound,loud
HS Tool Head 0.8 Made a expensive mistake,expensive mistake
Any Interested in Manufacturing Parts?,Manufacturing Parts
Taz 5 with SL 0.25mm tool head,SL 0.25 mm tool head
Vibration in y axis even after bed swap,y axis
Lulzbot Support is Horrible,Horrible
Taz 6 with Duet Wifi board and BL-Touch,Duet Wifi board
Did I just kill my TAZ 6?,my TAZ
Clogged bore on TAZ6,TAZ6
TAZ6 Bed Vibration,Vibration
PEI Lifting off from bed,bed
TAZ 3 with TAZ 5 Extruder,TAZ 5 Extruder
TAZ6 misses leveling washer when traveling to it.,washer
TAZ6 misses leveling washer when traveling to it.,it
Prints shifting on TAZ 6,TAZ 6
New Taz 5 owner needs help,help
Have issues and been fiddling with it for 3 weeks,3 weeks
Have issues and been fiddling with it for 3 weeks,it
TAZ 6 X belt rubs carriage,carriage
well it's my turn chasing the dog 'z' bed level,dog
TAZ 5 with unusual problem.  Need help,unusual problem
Problem with replacement single extruder toolhead,replacement single extruder toolhead
Homing G28 Z0 not working: why are all axes are homing???,why are homing
Improved Auto Bed Leveling TAZ 6 - Part 1,TAZ 6
Dual Extruder V3 used as single extruder,single extruder
"Help !Bed leveling problem, Unbalance Nozzle of V3",V3
Archim board - looks like an upgraded Rambo,upgraded Rambo
TAZ 6 with Aerostruder problems.,Aerostruder problems
Rambo Patch adding capacitor to z-min & zero sense,z-min
Rambo Patch adding capacitor to z-min & zero sense,capacitor
Lutzbot TAZ 6 Printer Nozzle Drags back through print,print
Taz 6 Probing failed after Arduino Board change.,Arduino Board change
Taz 6 pauses while printing from SD card,printing
Taz 6 pauses while printing from SD card,SD card
Taz 5 Print Jams,Jams
Flexystuder made from FLEXYDUALLY help,FLEXYDUALLY help
"Lulzbot Taz 6, 3D iphone case with face",face
Extruder Head encased itself in ABS overnight!,itself
2 different filaments in 1 print?,1 print
Can you adjust the bed on Taz 6?,Taz 6
Can you adjust the bed on Taz 6?,bed
Aerostruder connector with V2C tool harness,V2C tool harness
"LulzBot TAZ 5 Motherboard swapped for RAMBo 1.3, printing only limited to a few inches on X/Y Axis",RAMBo 1.3
"LulzBot TAZ 5 Motherboard swapped for RAMBo 1.3, printing only limited to a few inches on X/Y Axis",only limited to few inches on X/Y Axis
Dual extruder v3 prints with wrong head midprint and other malfunctions,wrong head midprint
"Prints end up ""printing in air""",printing in air
Capacitive Auto Bed Leveling,Leveling
TAZ 3 with new TAZ 5 Compatible Extruder,new TAZ 5 Compatible Extruder
Bubbles Under Brand New Heated Beds (Yes Plural),Yes Plural
Filament channel is clogged?,clogged
TAZ 6 Heated Bed Not Heating - Perplexing Puzzle - [EDIT - SOLVED!! Heater pin melted on RAMBo!],RAMBo
TAZ shutting down when wiping nozzle,nozzle
Proposed dual head with the best of the single Head,best of single Head
TAZ 6 DualExtv2 - filament jammed in extruder,extruder
"Filament stuck in printer, wont budge, wont remove",printer
Taz 5 FlexyDually Skipping/Slipping with Ninjaflex,Ninjaflex
Modified wipe code for other toolheads to use Dual V3 wipe pad,code
Modified wipe code for other toolheads to use Dual V3 wipe pad,V3
Modified wipe code for other toolheads to use Dual V3 wipe pad,pad
interlayer bonding issue with TAZ 6,TAZ 6
TAZ6 Z axis steppers making a loud growling noise.,loud growling noise
Four screws holding the control box to the frame,frame
Four screws holding the control box to the frame,control box
Shell is peeling off the model,model
Total NOOB with soooo many questions...,soooo many questions
Thermal Error with blank Heater_ID,blank Heater _ ID
Dual V3 with flexible filaments (ie. Ninjaflex),flexible filaments
Poor Man's Pause on Filament Run Out,Pause on Filament Run
"Random temperature drop, firmware disconnection on Taz 5 Dual v2?",Taz 5 Dual v2
Backlash in y axis - TAZ 5,y axis
Why does filament extrude before printing.,printing
1.75 mm filament in 3.0 mm hot end,3.0 mm hot end
Taz 5 Heating Bed - Temperature error,Temperature error
Review of LulzBot Modular Print Bed Heater,Bed Heater
Left Z axis threaded rod binding,rod binding
Taz5 Z-axis skewed after each print,print
"New Taz6, Help with poor prints",poor prints
Is the Flexystruder v2 being discontinued?,Is discontinued
Dual Extruder 3 with Flexi?,Flexi
Taz 6 Dually - Second extruder making contact with print volume,print volume
How does the Dualhead Taz v2 compare to the v3?,v3
TAZ6 Z Homing Issues with Standard Tool Head,Standard Tool Head
Taz 5 user looking for test print on TAZ 6,test print TAZ 6
Ditched my skirt for this Prusa i3 Mk2 style wipe feature I made for the TAZ 6,my skirt for Prusa i3 Mk2 style
Ditched my skirt for this Prusa i3 Mk2 style wipe feature I made for the TAZ 6,TAZ
Severe Warping Printing Spare parts using Chroma Strand ABS,Chroma Strand ABS
Jamming Hexagon Print head,head
ABS sticks to plate like insanity! Help.,plate
ABS sticks to plate like insanity! Help.,insanity
Moarstruder External Fill Pattern,Pattern
Taz 6 just stopped working???,working
TAZ 4 left & right Z motors get out of sync,sync
"Printer stops extruding, Chomps filament",extruding
Z axis issue with new TAZ6,new TAZ6
Problem with Taz 6 print,Taz 6
Buying used taz 3/4/5 bed mount plates,used taz 3/4/5 bed
12v 40mm cooling fan replacing the original 24v,original 24v
DIY TAZ-6 Auto home was a problem,problem
"SD card plastic broke off inside card reader, Taz6",card reader
"SD card plastic broke off inside card reader, Taz6",Taz6
"ABS / HIPS Melting on large print, suggested settings?",settings
TAZ5 stops printing after a few hours,printing
TAZ5 stops printing after a few hours,few hours
"Taz6 Flezystruder problem with ""Auto Home""",Auto Home
Bridge Nylon lifting PEI sheet,PEI sheet
"Flexydually v2, help printing with flexy only",flexy
TAZ 5 Heated Build plate Connector very hot and smells like magic smoke,magic smoke
Tips for resolving y-axis being off about 0.10mm,off about 0.10 mm
Titan Aero? Anyone consider installing one?,one
Tensioner Boby Keeps Breaking,Breaking
Nozzle pressing into washers when doing bed level,washers
Nozzle pressing into washers when doing bed level,bed level
Retraction issue when setting extruder temp and wait command,command
Modified heatsink fan duct for Taz-6 With LEDs,LEDs
Printer stops midprint,midprint
Filament bending at top of exstruder,top exstruder
Line voids in prints,prints
Bed centered cam mount for taz 6 ???,taz 6
trouble with z axis homing,axis homing
Taz 3 showing error mintemp,error mintemp
Bearing play - Is this normal?,normal
