Replies_subject,relation,Replies_object
User0,use,funnel like fan
open frame construction,allows,100 % air flow
User0,can download,it
User0,made for,example
fan,has,airflow zero guidance where needed
your exit,going in,other direction
User0,'re experiencing,lack cooling
User0,lack,cooling from type
tonyboutwell,wrote As,soon user
TAZ 6,also has,dual 24v extruder fans
User0,using settings in,Cura
User0,using,right settings
Answer1,assume,that with material
nozzle,is,big
1.2 mm nozzle,is,very big nozzle
User1,will have,print
User1,print,slow anyway
Answer1,could,could wrong
Z steppers,be,always enabled
Z motors,are compensating for,bed leveling
User2,disable,ABL
Select allM18 Z E,will disable immediately,Z motors
User3,should get,error
error,related to,extruder number
User3,have,firmware for dual extruder
firmware,is,single
It extruder,mount on,X axis
belt tension,use,your third hand
belt tension,holding,table
rsync service,is,provided
rsync service,is,suited
rsync service,is provided by,AO
command,will download,TAZ 6.03 directory
User5,may want to,archive
Sun Oct 27 2019 9:03,am,My option
Answer6,help,you
Answer6,might,might able
User6,are serious,donating
User6,are,serious
Answer6,teach,3D printing class
Answer6,manage,several undergrad projects
User6,can PM,me
User7,flashing,anything
User7,are only flashing,files
User7,are only flashing files from,download site
User7,flashing anything from,newest version of LB Cura
User7,select,aerostruder print head
User7,can check,firmware loaded shows aerostruder
User7,see,video
User8,write,your
laptop 's SD card reader/writers,seem,reliable then
SD card reader/writer,is in,my PC
Answer8,buying,external USB interface SD card reader/writer
Answer9,Unfortunately purchased,one
Answer9,had,non-stop issues
filament,run out,sensors
Answer9,'ll update,post once/if
Taz 6,is with,Aerostruder
Answer9,been,shocked
Answer9,set back up,it
Answer9,just got,dud
Answer9,will get,Pro
dud Aerostruder,is with,faulty thermistor originally
it could work,would,would great
given,is,second time
Answer10,checked ago,forum
Bio Printer,getting,some
screws,is in,guides
screws,were,loose
bed moves,is,tight
bed,moves smoothly by,hand
im,basically lost at,point
Answer12,would check,assembly instructions on E3D 's website
User12,can start here,your search
straight edge,Crank up,heat 100C
Answer13,have,hump in Y direction on Right hand side of bed
corners,being,held
corners,supported by,Aluminum plate
corners,supported from,underneath
glass,Removing,clips
glass,expand,lay flat
User14,can open,console M115
your USB connection,change out,your USB cable
your slot,is,loose
your connection,check,see
lulzbot print head parts,is in,UK
User15,heat up,block for thermal expansion
User15,do,full disassembly do
User16,Can upload,detailed pictures of printer setup
firmware,loaded,Bed
firmware,assumes,printer geometry
thumb,screw,that
bed,is,located properly
them,get out of,sync
motor,side of,X carriage
Z carriage,is,when moved
motors,slide,head
motors,slide head over,over front right bed washer
head,has,space
coupler,is with,your hand
head,is,lower
User17,want,https://www.lulzbot.com/store/parts/100 stor-235mm
best solution,purchase,one here
https://e3d-online.com/lulzbot-spares,Buy,several
https://e3d-online.com/lulzbot-spares,supply,community
https://e3d-online.com/lulzbot-spares,supply community,their problems arise
Answer18,enter in,settings
User18,have,worry about
only thing,is,your Z-offset
User18,turn on,machine
User18,have,latest version of Cura
User18,uninstalled,earlier versions
User18,make,sure
Different firmwares,enable,different pins
User19,should follow,Taz 5 instructions
measurement,should,should identical on sides
2019 7:15,am Reach out to,support team
2019 7:15,am Reach out for,help
2019 7:15,doing,anything else
support line lady,was,very thorough
Answer21,removed,3 screws
told,was,tight
3 screws,holding,lulzbot logo cover
User22,have,usb cable connected to printer
Start Cura,click on,Console button
Start Cura,click on,Monitor tab
G0,Move back down,it
M851,Send,your axis
User22,pass,index value of fan
Answer22,go,> Fan Speed 1
fan,turn,knob
Answer22,go to,Temperature
fan,turn knob to,fan speed
Yours,be,should somewhat similar to that
Ok,was,so there debris
Ok,so there was debris in,hobbed bolts teeth
Answer23,carefully cleaned out,it
Answer23,made,sure
Answer23,tightened up,them
two rods,name of,parts
Answer23,did get,layer height
RAMBo v1 difference,is,integrated LCD connector for Smart LCD Controllers
User24,can read up on,full stats of board here
EXT2 headers,were,re-arranged
EXT2 headers,remove,need
change,is,compatible
change,is compatible with,firmware for previous versions of Rambo
Ultimaker,reved Rambo board during,our production run
Answer25,'ve tried,other solutions
Answer25,was,able
Answer25,was able With,setup
first print,were,successful
Answer25,was guaranteed,print failure
My dual v3,is,reliable again
solution,uploading,link
solution,uploading,80 mm duct.stl file
Last material,was,Taulman 910
Answer26,wanted,print today
Answer26,could get,past probing
project,having,heck
Answer26,wiping aggressively with,paper towel
Answer26,use anything metal on,nozzle
Answer26,could see brass at_time,way around
Answer26,grabbed,some 320 grit
Answer26,gave,bit
Answer26,cranked,temp
Answer26,gave,it
Next probe sequence,executed,perfectly zero deflection
User26,trying,get
User26,'re at,your wits
Answer26,using,Aerostruder head
User27,Are using,latest firmware found in latest version of Cura LulzBot Edition
That,Aside looks,magically delicious
Answer27,really want now,unicorn ramen
Answer28,was,able
Answer28,take,more time looking at it
wiring,looks,perfect
Answer28,pulled off,print head
thermistor,is measuring,120k ohms
everything,is,now cold
Answer28,set end to,only 100 degrees C
E1 Heating,Failed,PRINTER HALTED message
fan shroud,collide with,bed leveling washers
Answer29,have,few aerostruders
User29,need,do
User29,have,careful
1.75 mm heat break,shoulder of be,level with bottom surface of titan
Answer29,get,time
Answer29,'ll make,thread
Answer29,get,quality prints
Answer29,get quality prints with,1.75 mm filament on aerostuder
User29,drill out,hole
Answer29,post,my pics
IT Works,has,selection of quality toolheads for Taz
Answer30,am,huge
could couple things,going on,here
partial obstruction,is in,nozzle
small fan,pointed towards,hot end
User31,can also make,sure
Your filament,should extrude in,solid consistent line
User31,troubleshoot with,Lulzbot tech support team
User31,can also send,them
B-Hep-Spring,wrote,? Mon Sep 23
B-Hep-Spring,wrote,2019 12:10 pm
User32,desired,setting
Max,is In,case
User32,are using,printer combination
printer combination,get,accurate data
TAZ 5,is with,0.50 mm hot end nozzle
0 #define Y _ MAX _ POS 275 #define Y _ MIN _ POS,#define after,homing #define X _ MAX _ POS 298 #define X _ MIN _ POS
User34,are,good
User34,are good at,soldering
Answer35,have modified,my modular bed
heat mat,glued to,it
Aluminum plate,is,thicker
Aluminum plate,is thicker,several times
plate,supported on,corners
Answer35,fixed,mine
ss/1081135 faucet,rebuild,kit
User35,could use as,thermal/electrical insulators
ti,comes with,two rubber seals
should several material profiles,is with,preset spiralize profiles
User36,'d,ideally 'd able
https://LulzBot.com/Support,is In,Cura LE
User36,clear,your cura cache
Answer37,have solved,problem
Bed,be leveled,work
Bed,has,leveled
my bed,was,out-of-level enough
Answer37,come up with,trick
Answer37,had,fix
Answer37,fix on,Taz 6
bed,leveling,G28
level bed,is with,full diagnostics
Answer37,used,determine
highest corner,is in,my case
Answer37,raise,other corners
Answer37,would run g-code sequence After,attempt
Answer37,again looking at,Z numbers
Answer37,took,flat blade
Answer37,got,corners physically within 0.07 mm
His,running,test show
His,pointing out,usage of M119
Answer37,found,you post
Answer37,tried everything up,I found
Answer37,tried up,everything
my,build plate up,up .08 mm deviation between washers
Answer37,was,able
my,build,plate
Answer37,do have,one question
User37,did using,M119 command
User37,Could please,elaborate on this
my PLA prints,would fail on,Dual Extruder v3
real difference,turning up,your speed
Answer38,use,default profile 's speed setting
extruder,has,share
cooling,is,when problem
see,is,at
profile,is with,0 degrees
value,change on,one side
Build Plate Temperature,is,For example value shared between extruders
Layer Height,is,also good example
quick summary,is in,dummy profile
Answer38,would set,printing temperatures
Answer38,would set printing temperatures to,about 30C including standby temperature
Answer38,get,successful PLA prints
nothing,can make,work
nothing,can make work on,v3 Extruder
Answer38,'ve tried,many things
Answer40,add,it
Answer40,use,S3D
involved,creating,profile including
CuraLE,generates,G-Code
Answer40,print,parts sliced in order
Answer40,put,M218 T1 X13 Y0 command
Answer40,put M218 T1 X13 Y0 command into,my S3D start code
firmware,is in,on other hand charge
version,is in,TAZ Pro
User41,Have switched,slicers
User41,print,gcode file
printer,is on,level
Answer41,is,check
Answer41,can think,is
min,is above,50 %
print,switch to,custom
change,affects,target
your lab,is,particularly warm
filament,lead to,extrusion issues
filament,becomes,malleable
Answer43,would try,190c-200c
printing temperature,using,desk fan
Answer43,would try 190c-200c for,PLA
User43,are using,enclosure
doors,otherwise venting,it
Answer44,just have,few questions
User44,are trying,print
User44,are sending,gcode
User44,are sending gcode to,printer
heating elements,can,can probably solved
autolevelling,is done with,voltage
autolevelling,is,done
User45,'ll strip,aluminum threads
User45,turn,them
User45,'ve,wiring problem
wire failure,constant motion of,bed
Your X axis,might out of,might level
printer,slowly move toolhead over,over front LH washer
