pcrel,p,c
1, X Stepper Motor, Movement_-1
2, Y Stepper Motor, Movement_-1
3, Z Stepper Motor, Movement_-1
4, X Stepper Motor, Movement_0
5, Y Stepper Motor, Movement_0
6, Z Stepper Motor, Movement_0
7, X Stepper Motor, Movement_1
8, Y Stepper Motor, Movement_1
9, Z Stepper Motor, Movement_1
10, X Tension Belt, Movement_-1
11, Y Tension Belt, Movement_-1
12, X Tension Belt, Movement_0
13, Y Tension Belt, Movement_0
14, Z-Axis Lead Screw, Movement_0
15, Z-Axis Lead Screw, Movement_-1
16, PEI Surface Print Bed, Movement_-1
17, Rambo Board, Movement_-1
18, PEI Surface Print Bed, Movement_1
19, Rambo Board, Movement_1
20, Bearing, Movement_0
21, Bearing, Movement_-1
22, Bearing, Movement_1
23, Nozzle, Temperature_-1 
24, Nozzle, Temperature_0
25, Nozzle, Temperature_1
26, Heat Bed Cable, Temperature_-1 
27, Thermistor , Temperature_-1 
28, Heat Break, Temperature_-1 
29, Heat Sink, Temperature_-1 
30, Nozzle Fan, Temperature_1
31, Filament , Temperature_-1 
32, Part Fan, Temperature_1
33, Heat Bed Cable, Temperature_1
34, Thermistor , Temperature_1
35, Heat Break, Temperature_1
36, Heat Sink, Temperature_1
37, Extruder Gear, Extrusion_-1
38, Extruder Gear, Extrusion_0
39, Extruder Gear, Extrusion_1
40, Extruder Stepper Motor, Extrusion_-1
41, Extruder Stepper Motor, Extrusion_0
42, Extruder Stepper Motor, Extrusion_1
43, Filament , Extrusion_-1
44, Filament , Printing_0
45, Filament , Printing_1
46, Filament , Clogging_0
47, Filament , Clogging_1
48, Filament , String_0
49, Filament , String_1
50, Thermistor , Clogging_1
51, Thermistor , String_1
52, Nozzle Fan, Clogging_1
53, Part Fan, String_1
54, Filament , Density Ratio_1
55, Filament , Density Ratio_2
56, Filament , Density Ratio_3
