c,c_name
1,[solved] hot end not holding temp for certain filaments
2,dual v3 - a review - wait for v4? - heat creep still a problem
3,taz 3 with taz 5 extruder
4,new taz 5 owner needs help
5,g21 command unknown?
6,z-offset and 1st layer height
7,odd behavior of plastic while bridging
8,cura terminal entry box ????
9,poor man's pause on filament run out
10,ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6
11,uneven/shifted/missing layer issues
12,extrusion delay - taz 6
13,quick unbox and first print with the moarstruder
14,constant extrusion failures
15,flexystruder v1 with taz 5
16,differing machine speeds
17,wavy wall if print speed is not very low?
18,fundamental differences between mini and taz 5?
19,problem using flashair sd card
20,"hybrid parts.. abs and ninjaflex,  anybody doing it?"
21,octoprint - movement speeds
22,new taz pro 2nd extruder not lowering
23,taz 6 sd card reader not reading files
24,z height changing during print.
25,my taz6 can't determine firmware version
26,my taz 6 started chewing up the filament
27,"luzbot 5 single, printing in squiggles"
28,taz 6 w/ moar - spiralize problem
29,taz 6 bed leveling problems
30,problems with the taz6
31,hs+ head taz 6 major issues!
32,taz pro issues - print failures
33,simple trick for leveling bed
34,[dual extruder v3] printing different colors for different layers
35,lulzbot taz 6: different nozzles
36,taz 6 filament extrudes manually but not during printing
37,[dual extruder v3] non-support filament will not print well
38,taz 6 cuts out when heating up
39,e1:err: mintemp taz6 dual head v2
40,lulzbot support is horrible
41,how to print a smooth surface?
42,x-axis will not move in negative direction
43,first few layers
44,"new taz 6, tool head screw position misaligned?"
45,dual extruder v3 tool head & flexible
46,pimple free printing
47,prints shifting on taz 6
48,print critique how do these look?
49,taz 4 hardened steel hobbed bolt
50,"taz 6, slop?"
51,recommended spare parts
52,problem with replacement single extruder toolhead
53,ngen removal from taz6
54,taz 5 and upgrades from aliexpress?
55,rambo not outputting enough voltage to print bed
56,layering issues
57,help with print quality
58,taz 4 alignment pieces
59,trying to connect using usb over ip
60,taz 6 igus bearing failure / wearing out
61,differences between lulzbot taz models 1 2 3 4 5 6
62,recv: echo:busy: processing
63,lutzbot taz 6 printer nozzle drags back through print
64,taz 6 won't stay level
65,taz6 y axis backlash/positioning issues
66,taz 5 / flexydually ninja semiflex
67,what can cause z-offset to shift?
68,dimensional accuracy is off
69,taz 5: lcd print progress bar not tracking
70,taz 5 z homing issue
71,taz 5 dual extruder nozzle leveling
72,taz 6 filament jamming up.
73,taz 5 stringy print
74,taz 6 pauses while printing from sd card
75,taz5 won’t pre-heat
76,custom gcode for maintanence tasks
77,taz dual v3 cooling mod?
78,bed adhesion or what?
79,extruder head encased itself in abs overnight!
80,filament grinding
81,live z adjust
82,which printing error is this?
83,"lulzbot taz 5 motherboard swapped for rambo 1.3, printing only limited to a few inches on x/y axis"
84,dual extruder v3 prints with wrong head midprint and other malfunctions
85,aerostruder z-offset
86,taz 4.1 motors not working
87,print time meter?
88,"prints end up ""printing in air"""
89,temperature not keeping up
90,room temperature inquiry
91,blobby prints on taz6
92,switching to gizmo dorks pei sheet
93,what causes this kind of bad print
94,help with filament stripping
95,modular build plate
96,lulzbot taz dual extruder v3 tool head dual color
97,violent shaking along x-axis
98,graining on first layer
99,recommendations to fix this print?
100,taz shutting down when wiping nozzle
101,printing larger than the taz 6 build volume
102,slow printing
103,taz 6 external cooling fan(s)
104,print warping in right front area
105,broke heat break when trying to change nozzle on aerostruder
106,speed
107,what causes unexpected printer pause?
108,taz 5 for printing tpu.  aero or dual v3?
109,dual extruder v2 heat block fan upgrade
110,taz 6 ditto printing
111,bought a used taz6  what to check / adjust?
112,"print error while printing ""all at once"""
113,shell is peeling off the model
114,total noob with soooo many questions...
115,thermal error with blank heater_id
116,dual v3 with flexible filaments (ie. ninjaflex)
117,dual extruder v3 - heat creep solved?
118,why does filament extrude before printing.
119,extruder too low?
120,physical security question
121,taz 5 heating bed - temperature error
122,rasberry pi and webcam for the taz
123,taz pei surface & extude problems
124,hotend really clogged
125,taz 6 bed calibration
126,strange bubbling layers
127,taz 5 flexydually fans not running at any speed less than 100%
128,taz 6 dually - second extruder making contact with print volume
129,how does the dualhead taz v2 compare to the v3?
130,hexagon hoopla - hot end fell out
131,severe warping printing spare parts using chroma strand abs
132,jamming hexagon print head
133,first layer issues.
134,taz 6 ringing/resonance/ghosting along the z-axis
135,"print quality subpar, photo included"
136,taz 6 just stopped working???
137,tried to make a two colour sign offset
138,taz 5 flexystruder v1 printable parts
139,prints out of scale
140,first layer issues?
141,y-axis doing rugged sounds and not moving properly
142,"sd card plastic broke off inside card reader, taz6"
143,black nozzle
144,"abs / hips melting on large print, suggested settings?"
145,taz5 stops printing after a few hours
146,bridge nylon lifting pei sheet
147,"flexydually v2, help printing with flexy only"
148,tips for resolving y-axis being off about 0.10mm
149,quick question about taz environmental considerations...
150,retraction issue when setting extruder temp and wait command
151,"taz 6 physical printing stops but software thinks print is still going - ""too long extrusion"""
152,had to learn it the hard way never reboot pc while attached to taz
153,printer stops midprint
154,flexion vs e3d titan aero?
155,is this heat creep? (taz 5)
156,request for help - lulzbot taz 5 printing issues
157,dual extruder calibration
158,filament bending at top of exstruder
159,z-axis repeated binding
160,speeding up print
161,flexydually (v1) printing issues
162,taz 6 circle issue
163,taz 3 showing error mintemp
164,need help inserting new igus bushings
165,taz 6 broken extruder idler block (help!)
166,taz 5 and taz mini for sale
167,generic question - do you lube rails?
168,taz 6 messing up layers
169,taz 4/5 skipping steps?
170,bubbles in pei sheet
171,comprehensive tutorial?
172,problem with first layer
173,"taz6 x-axis jump, cura beta to blame?"
174,removing a stuck print
175,"help with filament ""stalling"""
176,nozzle change 0.3mm settings/firmware?
177,buyer beware
178,taz 4 z axis not lowering
179,*warning* anyone with a thermal runaway issue
180,other uses for a taz
181,strange bulge on lower layers.
182,acrylic plastic
183,taz6 doesn't start printing after probing??
184,maybe not clogging
185,not sure where to begin...sub par print quality on my taz 6
186,moarstruder
187,dual extruder woes
188,how to adjust extrusion speed?
189,y axis shift on modified taz 1
190,temperaure limit override
191,tax 6 poor print quality
192,print lifting off bed
193,noob with a taz6 (please help with 2nd-4th layer)
194,taz 6 pla issue.  please help!
195,spool holder-box-dryer
196,"help request: leveling a taz 5, by undoing previous mistakes?"
197,lulzbot taz 6 flexydually z movement too small
198,another taz 5 out of round question
199,taz 6 bed cooling during auto-level
200,resuming print doesn't resume extrusion  (taz 5)
201,layer offset issue - not sure if mechanical or software
202,taz 6 bed temperature calibration?
203,taz 6 layer shift after 24 hours - happened twice at around same spot
204,hardware or firmware
205,taz 6 parts list
206,serious air under bedsheet/bubbling on first print
207,infill failures
208,tool head v2.1 fans
209,weird print problem
210,taz 6 upgrades and questions
211,layer lines visible - tips for a very large print?
